ID,Centrally symmetric,Dimension,Degree,Zero barycentre,Zero dual barycentre,Volume,# Vertices,# Facets,Class
1,False,2,7,False,False,5,5,5,Uniquely additive
2,True,2,6,True,True,6,6,6,Non-additive
3,False,2,8,False,False,4,4,4,(Not uniquely) additive
4,True,2,8,True,True,4,4,4,Uniquely additive
5,False,2,9,True,True,3,3,3,(Not uniquely) additive
6,False,3,50,False,False,8,8,6,(Not uniquely) additive
7,False,3,62,False,False,6,6,5,(Not uniquely) additive
8,False,3,46,False,False,10,10,7,(Not uniquely) additive
9,False,3,36,False,False,12,12,8,Non-additive
10,False,3,44,False,False,10,10,7,(Not uniquely) additive
11,False,3,52,False,False,8,8,6,(Not uniquely) additive
12,False,3,50,False,False,8,8,6,(Not uniquely) additive
13,False,3,40,False,False,10,10,7,Non-additive
14,False,3,42,False,False,10,10,7,Uniquely additive
15,True,3,36,True,True,12,12,8,Non-additive
16,False,3,46,False,False,8,8,6,(Not uniquely) additive
17,False,3,48,False,False,8,8,6,(Not uniquely) additive
18,False,3,44,True,True,8,8,6,Non-additive
19,False,3,54,False,False,6,6,5,(Not uniquely) additive
20,False,3,56,False,False,6,6,5,(Not uniquely) additive
21,True,3,48,True,True,8,8,6,Uniquely additive
22,False,3,54,True,True,6,6,5,(Not uniquely) additive
23,False,3,64,True,True,4,4,4,(Not uniquely) additive
24,False,4,605,False,False,11,11,7,(Not uniquely) additive
25,False,4,800,False,False,8,8,6,(Not uniquely) additive
26,False,4,558,False,False,15,15,8,(Not uniquely) additive
27,False,4,364,False,False,18,18,9,Non-additive
28,False,4,478,False,False,15,15,8,(Not uniquely) additive
29,False,4,463,False,False,16,16,8,(Not uniquely) additive
30,False,4,592,False,False,12,12,7,(Not uniquely) additive
31,False,4,576,False,False,12,12,7,(Not uniquely) additive
32,False,4,382,False,False,15,15,8,Non-additive
33,False,4,496,False,False,16,16,8,(Not uniquely) additive
34,False,4,415,False,False,16,16,8,Non-additive
35,False,4,560,False,False,12,12,7,(Not uniquely) additive
36,False,4,368,False,False,17,17,8,Non-additive
37,False,4,400,False,False,16,16,8,(Not uniquely) additive
38,False,4,433,False,False,16,16,8,(Not uniquely) additive
39,False,4,337,False,False,16,16,8,Non-additive
40,False,4,450,False,False,13,13,7,(Not uniquely) additive
41,False,4,529,False,False,13,13,7,(Not uniquely) additive
42,False,4,496,False,False,12,12,7,(Not uniquely) additive
43,False,4,400,False,False,12,12,7,Non-additive
44,False,4,594,False,False,9,9,6,(Not uniquely) additive
45,False,4,505,False,False,15,15,8,(Not uniquely) additive
46,False,4,354,False,False,18,18,9,Non-additive
47,False,4,442,False,False,16,16,8,(Not uniquely) additive
48,False,4,409,False,False,15,15,8,Non-additive
49,False,4,560,False,False,12,12,7,(Not uniquely) additive
50,False,4,417,False,False,17,17,8,(Not uniquely) additive
51,False,4,321,False,False,21,21,9,Non-additive
52,False,4,310,False,False,21,21,9,Non-additive
53,False,4,327,False,False,18,18,8,Non-additive
54,False,4,249,True,True,24,24,9,Non-additive
55,False,4,322,False,False,18,18,8,Non-additive
56,False,4,305,False,False,21,21,9,Non-additive
57,False,4,369,False,False,17,17,8,(Not uniquely) additive
58,False,4,369,False,False,17,17,8,(Not uniquely) additive
59,False,4,384,False,False,16,16,8,(Not uniquely) additive
60,False,4,417,False,False,13,13,7,(Not uniquely) additive
61,False,4,385,False,False,17,17,8,(Not uniquely) additive
62,False,4,307,False,False,23,23,9,Uniquely additive
63,True,4,230,True,True,30,30,10,Non-additive
64,False,4,433,False,False,13,13,7,(Not uniquely) additive
65,False,4,326,False,False,17,17,8,Non-additive
66,False,4,464,False,False,12,12,7,(Not uniquely) additive
67,False,4,351,False,False,15,15,8,Non-additive
68,False,4,432,False,False,12,12,7,(Not uniquely) additive
69,False,4,406,False,False,13,13,7,(Not uniquely) additive
70,False,4,513,False,False,9,9,6,(Not uniquely) additive
71,False,4,442,False,False,20,20,9,(Not uniquely) additive
72,False,4,308,False,False,24,24,10,Non-additive
73,False,4,394,False,False,20,20,9,(Not uniquely) additive
74,False,4,480,False,False,16,16,8,(Not uniquely) additive
75,False,4,464,False,False,16,16,8,(Not uniquely) additive
76,False,4,330,False,False,20,20,9,Non-additive
77,False,4,405,False,False,20,20,9,(Not uniquely) additive
78,False,4,298,False,False,24,24,10,Non-additive
79,False,4,405,False,False,20,20,9,(Not uniquely) additive
